rank,City,State[a],Est2022,Census2020
1,New York[b],New York,"8,335,897","8,804,190"
2,Los Angeles,California,"3,822,238","3,898,747"
3,Chicago,Illinois,"2,665,039","2,746,388"
4,Houston,Texas,"2,302,878","2,304,580"
5,Phoenix,Arizona,"1,644,409","1,608,139"
6,Philadelphia[c],Pennsylvania,"1,567,258","1,603,797"
7,San Antonio,Texas,"1,472,909","1,434,625"
8,San Diego,California,"1,381,162","1,386,932"
9,Dallas,Texas,"1,299,544","1,304,379"
10,Austin,Texas,"974,447","961,855"
11,Jacksonville[d],Florida,"971,319","949,611"
12,San Jose,California,"971,233","1,013,240"
13,Fort Worth,Texas,"956,709","918,915"
14,Columbus,Ohio,"907,971","905,748"
15,Charlotte,North Carolina,"897,720","874,579"
16,Indianapolis[e],Indiana,"880,621","887,642"
17,San Francisco[f],California,"808,437","873,965"
18,Seattle,Washington,"749,256","737,015"
19,Denver[g],Colorado,"713,252","715,522"
20,Oklahoma City,Oklahoma,"694,800","681,054"
21,Nashville[h],Tennessee,"683,622","689,447"
22,El Paso,Texas,"677,456","678,815"
23,Washington[i],District of Columbia,"671,803","689,545"
24,Las Vegas,Nevada,"656,274","641,903"
25,Boston,Massachusetts,"650,706","675,647"
26,Portland,Oregon,"635,067","652,503"
27,Louisville[j],Kentucky,"624,444","633,045"
28,Memphis,Tennessee,"621,056","633,104"
29,Detroit,Michigan,"620,376","639,111"
30,Baltimore[k],Maryland,"569,931","585,708"
31,Milwaukee,Wisconsin,"563,305","577,222"
32,Albuquerque,New Mexico,"561,008","564,559"
33,Tucson,Arizona,"546,574","542,629"
34,Fresno,California,"545,567","542,107"
35,Sacramento,California,"528,001","524,943"
36,Mesa,Arizona,"512,498","504,258"
37,Kansas City,Missouri,"509,297","508,090"
38,Atlanta,Georgia,"499,127","498,715"
39,Colorado Springs,Colorado,"486,248","478,961"
40,Omaha,Nebraska,"485,153","486,051"
41,Raleigh,North Carolina,"476,587","467,665"
42,Virginia Beach[k],Virginia,"455,618","459,470"
43,Long Beach,California,"451,307","466,742"
